County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Sangamon,189000,189300,190800,191000,191000,192150,192790,192380,192840,194170
Schuyler,7200,7100,7100,7100,7200,7200,7130,7030,6920,6660
Scott,5500,5500,5500,5500,5400,5350,5300,5240,5210,5170
Shelby,22800,22600,22600,22500,22400,22250,22180,21900,21870,21790
Stark,6300,6300,6300,6200,6200,6290,6340,6290,6230,5880
Stephenson,48900,48300,48100,48100,47900,47760,47530,47030,46740,46480
Tazewell,128500,128400,129100,128900,129500,129640,130480,131220,131390,133240
Union,18300,18200,18300,18400,18400,18310,18320,18260,18170,18130
Vermilion,83800,83200,82800,82200,82100,81880,81770,80830,80220,79170
Wabash,12900,12800,12700,12700,12600,12520,12440,12270,12180,11960
Warren,18700,18400,18300,18100,17600,17390,17320,17200,16960,16860
Washington,15200,15200,15100,15100,15100,14810,14820,14610,14560,14300
Wayne,17100,17000,17000,16900,16800,16610,16490,16500,16430,16100
White,15400,15400,15300,15100,15200,15320,15230,14960,14970,14780
Whiteside,60700,60400,60300,59700,59700,60050,60030,59500,59400,58960
Will,508200,536900,565200,594400,622100,641420,666680,679520,688480,695860
Williamson,61300,61900,62400,62600,63200,63450,63350,64620,65130,66060
Winnebago,278800,279700,282400,284700,286300,286980,290650,294220,295400,293750
Woodford,35500,35700,36100,36400,36900,37550,37990,38280,38680,39170
