County,1991,1992,1993,1994,1995,1996,1997,1998,1999
Knox,56200,56300,56400,56000,55900,55500,55300,55700,55600
Lake,531100,540300,550900,561600,572600,585000,597500,613200,622300
La Salle,107400,107800,108500,108600,109100,109200,109300,110300,110400
Lawrence,15900,15800,15800,15800,15800,15600,15300,15200,15000
Lee,34500,34900,35200,35500,35900,35800,35900,36200,36100
Livingston,39200,39400,39700,39800,40000,39200,39300,39400,39600
Logan,30500,30900,30900,30900,31200,30900,30900,31600,31500
McDonough,35000,34900,35000,35200,33900,33600,33500,33800,33800
McHenry,192400,199500,208300,216500,225400,231000,236900,243800,250200
McLean,131800,133200,135600,136800,138900,139400,140900,143700,146100
Macon,117700,117900,117300,116500,116200,114900,113800,114200,113900
Macoupin,47900,47800,48000,48200,48400,48500,48400,48600,48900
Madison,251500,252900,254200,255000,256300,256200,257400,259700,260400
Marion,41500,41600,41700,41600,41800,41800,41700,41800,41600
Marshall,12800,12800,12700,12600,12700,12600,12600,12700,12700
Mason,16400,16500,16600,16600,16600,16500,16600,16700,16700
Massac,14700,14900,15100,15100,15100,15100,15300,15400,15300
Menard,11300,11400,11700,11900,12100,12300,12400,12600,12800
Mercer,17300,17300,17300,17400,17500,17500,17500,17700,17800
Monroe,22900,23400,23800,24200,24700,25300,25800,26800,27400
Montgomery,30600,30900,30500,30700,30700,30600,31000,31200,30900
Morgan,36400,36300,36500,36400,36900,36600,36200,36100,36000
Moultrie,13900,14000,13900,13900,14000,14100,14200,14300,14400
Ogle,46900,47500,48200,48800,49300,49800,50000,50700,51200
Peoria,183800,183700,183500,182800,183400,182700,182000,182700,182600
Perry,21300,21300,21400,21200,21200,21300,21200,21300,23300
Piatt,15600,15700,16000,16000,16200,16200,16400,16400,16600
Pike,17400,17400,17400,17100,17100,17000,17300,17400,17300
Pope,4400,4400,4500,4500,4600,4600,4600,4700,4700
Pulaski,7400,7400,7400,7300,7300,7200,7100,7200,7200
Putnam,5800,5800,5700,5800,5800,5800,5900,6000,6100
Randolph,34600,34300,34100,34400,34200,33900,33600,33700,3400
Richland,16600,16700,16600,16700,16600,16600,16700,16700,16600
Rock Island,149700,150100,150500,149800,149600,148400,148100,149100,148900
St. Clair,262300,262800,265800,265600,265600,264700,263900,264200,263000
Saline,26300,26500,26700,26500,26200,26200,25900,26000,25800
Sangamon,179900,181400,182800,183500,184200,184300,184200,185600,185600
Schuyler,7500,7500,7500,7600,7700,7600,7600,7700,7600
Scott,5600,5600,5600,5600,5600,5500,5500,5500,5500
Shelby,22300,22300,22300,22300,22400,22400,22400,22600,22500
Stark,6400,6400,6400,6300,6300,6300,6200,6200,6100
Stephenson,48100,48400,48700,48900,48900,48800,48900,49100,49100
Tazewell,124600,125500,125900,126500,129000,128900,129200,130700,131300
Union,17600,17800,17800,17800,17800,17800,17700,17700,17700
Vermilion,87900,87900,87700,87600,86300,84900,84800,85100,84400
Wabash,13100,13000,13100,12900,12900,12600,12600,12600,12600
Warren,19200,19200,19000,18900,19000,18700,18700,18800,18700
Washington,14800,14700,14800,14900,15000,15000,15100,15100,15000
Wayne,16900,16900,16900,17000,17000,16800,16800,16900,17000
White,16300,16100,15900,15700,15700,15500,15400,15400,15300
Whiteside,60600,60700,60600,60600,60600,60500,60200,60400,60300
Will,367300,374600,387000,399600,415100,429400,445000,464400,483500
Williamson,57800,58600,59100,59100,60300,60200,60700,61300,61500
Winnebago,257000,259500,262000,263100,264600,265400,266600,269300,270400
Woodford,33300,33400,33600,33800,34300,34400,34500,35100,35500
